molecule_chembl_id,canonical_smiles,Activity Class
CHEMBL256351,Oc1ccccc1C1=NN(C(=S)Nc2ccccc2)[C@H](c2ccccc2O)C1,0
CHEMBL258166,Oc1ccccc1[C@@H]1CC(c2ccccc2)=NN1C(=S)Nc1ccccc1,0
CHEMBL258378,Oc1ccc(C2=NN(C(=S)Nc3ccccc3)[C@H](c3ccc(O)cc3)C2)cc1,0
CHEMBL256128,COc1ccc(NC(=S)N2N=C(c3ccc(O)cc3O)C[C@H]2c2ccc(O)c(OC)c2)cc1,0
CHEMBL258440,COc1cc([C@@H]2CC(c3ccc(O)cc3O)=NN2C(=S)Nc2ccccc2OC)ccc1O,0
CHEMBL255241,COc1cc([C@@H]2CC(c3ccc(O)cc3O)=NN2C(=S)Nc2ccccc2)ccc1O,0
CHEMBL404040,COc1ccc(NC(=S)N2N=C(c3ccc(O)cc3O)C[C@H]2c2ccc(O)cc2)cc1,1
CHEMBL257397,COc1ccccc1NC(=S)N1N=C(c2ccc(O)cc2O)C[C@H]1c1ccc(O)cc1,1
CHEMBL257608,Oc1ccc([C@@H]2CC(c3ccc(O)cc3O)=NN2C(=S)Nc2ccccc2)cc1,1
CHEMBL256309,COc1cc([C@@H]2CC(c3ccccc3O)=NN2C(=S)Nc2ccccc2C)ccc1O,1
CHEMBL255234,Cc1ccccc1NC(=S)N1N=C(c2ccccc2O)C[C@H]1c1ccc(O)cc1,1
CHEMBL402834,Oc1ccc([C@@H]2CC(c3ccccc3O)=NN2C(=S)Nc2ccccc2)cc1,1
CHEMBL256080,Cc1ccc(NC(=S)N2N=C(c3ccccc3O)C[C@H]2c2ccccc2O)cc1,1
CHEMBL256079,Cc1ccccc1NC(=S)N1N=C(c2ccccc2O)C[C@H]1c1ccccc1O,1
CHEMBL218650,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
